Signal,Category,Horizon,Trades,WinRate%,AvgReturn%,AvgWin%,AvgLoss%,ProfitFactor,Expectancy%,MaxLoss%,TotalReturn%
Volume Avg Naik Terkontrol,Akumulasi,14d,5280,45.4,1.708,10.834,-5.892,1.53,1.708,-65.485,9015.76
Volume Avg Naik Terkontrol,Akumulasi,1d,5458,37.5,-0.098,2.612,-1.726,0.91,-0.098,-20.105,-533.11
Volume Avg Naik Terkontrol,Akumulasi,2d,5449,40.2,0.028,3.609,-2.383,1.02,0.028,-35.978,154.24
Volume Avg Naik Terkontrol,Akumulasi,30d,5087,45.4,2.636,16.17,-8.64,1.56,2.636,-84.716,13410.69
Volume Avg Naik Terkontrol,Akumulasi,3d,5439,41.6,0.128,4.262,-2.815,1.08,0.128,-34.617,698.53
Volume Avg Naik Terkontrol,Akumulasi,5d,5405,43.6,0.434,5.686,-3.635,1.21,0.434,-49.645,2343.1
Volume Avg Naik Terkontrol,Akumulasi,60d,4893,46.6,6.013,26.604,-11.953,1.94,6.013,-75.535,29422.47
Volume Avg Naik Terkontrol,Akumulasi,7d,5381,43.8,0.682,7.006,-4.25,1.29,0.682,-49.645,3671.11
Volume Exhaustion Bottom,Akumulasi,14d,4318,43.7,0.643,11.914,-8.098,1.14,0.643,-82.503,2776.2
Volume Exhaustion Bottom,Akumulasi,1d,4343,35.3,-0.25,3.182,-2.124,0.82,-0.25,-33.483,-1086.44
Volume Exhaustion Bottom,Akumulasi,2d,4340,38.8,-0.245,4.24,-3.092,0.87,-0.245,-50.15,-1064.22
Volume Exhaustion Bottom,Akumulasi,30d,4299,42.3,1.924,19.773,-11.143,1.3,1.924,-94.268,8272.37
Volume Exhaustion Bottom,Akumulasi,3d,4338,39.9,-0.104,5.354,-3.725,0.95,-0.104,-34.765,-452.59
Volume Exhaustion Bottom,Akumulasi,5d,4335,41.8,0.136,6.957,-4.758,1.05,0.136,-50.15,590.27
Volume Exhaustion Bottom,Akumulasi,60d,4127,41.6,5.072,34.313,-15.782,1.55,5.072,-92.833,20932.12
Volume Exhaustion Bottom,Akumulasi,7d,4331,43.0,0.228,7.963,-5.599,1.07,0.228,-63.786,989.04
Volume Spike Sideways,Akumulasi,14d,7354,43.8,1.347,9.605,-5.093,1.47,1.347,-66.15,9903.33
Volume Spike Sideways,Akumulasi,1d,7508,36.5,0.012,2.495,-1.414,1.01,0.012,-50.15,91.27
Volume Spike Sideways,Akumulasi,2d,7503,39.2,0.079,3.353,-2.029,1.06,0.079,-50.15,591.6
Volume Spike Sideways,Akumulasi,30d,7204,44.2,2.63,15.778,-7.795,1.61,2.63,-74.15,18949.18
Volume Spike Sideways,Akumulasi,3d,7492,40.0,0.097,3.938,-2.468,1.07,0.097,-50.15,728.92
Volume Spike Sideways,Akumulasi,5d,7478,41.3,0.275,5.117,-3.138,1.15,0.275,-50.15,2057.81
Volume Spike Sideways,Akumulasi,60d,6890,45.6,5.036,24.454,-11.224,1.82,5.036,-86.15,34695.16
Volume Spike Sideways,Akumulasi,7d,7451,42.0,0.466,6.136,-3.648,1.22,0.466,-49.841,3472.49
BPJS Beli Pagi Jual Sore,Intraday,14d,366,40.4,-1.031,5.987,-5.796,0.7,-1.031,-24.392,-377.39
BPJS Beli Pagi Jual Sore,Intraday,1d,372,29.6,-0.178,2.931,-1.483,0.83,-0.178,-13.075,-66.04
BPJS Beli Pagi Jual Sore,Intraday,2d,370,36.8,-0.385,2.656,-2.152,0.72,-0.385,-20.276,-142.29
BPJS Beli Pagi Jual Sore,Intraday,30d,366,35.2,-2.568,8.977,-8.852,0.55,-2.568,-30.886,-939.95
BPJS Beli Pagi Jual Sore,Intraday,3d,370,37.0,-0.242,3.783,-2.608,0.85,-0.242,-22.599,-89.43
BPJS Beli Pagi Jual Sore,Intraday,5d,370,36.5,-0.51,4.288,-3.267,0.75,-0.51,-24.912,-188.78
BPJS Beli Pagi Jual Sore,Intraday,60d,366,38.0,-2.629,13.274,-12.368,0.66,-2.629,-34.317,-962.32
BPJS Beli Pagi Jual Sore,Intraday,7d,368,37.2,-0.664,4.47,-3.709,0.71,-0.664,-19.575,-244.33
BSJP Beli Sore Jual Pagi,Intraday,14d,20059,45.0,0.862,9.969,-6.596,1.24,0.862,-73.701,17289.89
BSJP Beli Sore Jual Pagi,Intraday,1d,20497,38.5,-0.091,2.554,-1.75,0.92,-0.091,-21.772,-1867.35
BSJP Beli Sore Jual Pagi,Intraday,2d,20497,40.6,-0.02,3.635,-2.516,0.99,-0.02,-27.65,-403.97
BSJP Beli Sore Jual Pagi,Intraday,30d,19524,45.5,2.222,16.054,-9.314,1.44,2.222,-86.599,43374.77
BSJP Beli Sore Jual Pagi,Intraday,3d,20467,41.6,0.036,4.374,-3.06,1.02,0.036,-36.932,740.96
BSJP Beli Sore Jual Pagi,Intraday,5d,20383,43.3,0.172,5.571,-3.958,1.08,0.172,-45.621,3503.81
