ticker,date,signal,category,price,sector,ret_1d,ret_2d,ret_3d,ret_5d,ret_7d,ret_14d,ret_30d,ret_60d,ret_intraday
TLKM,2023-10-19,RSI-9 Pullback ke EMA5,Scalp,4426.26,Communication Services,0.2867,-1.0234,0.2867,-0.5867,-0.15,2.0334,2.0334,13.8238,
TLKM,2023-10-20,RSI+BB Lower Bounce,Swing,4349.61,Communication Services,-1.4544,-0.15,1.5891,-1.0196,-1.4544,2.0239,2.4587,13.3283,
TLKM,2023-10-20,Stochastic Deeply Oversold,Scalp,4349.61,Communication Services,-1.4544,-0.15,1.5891,-1.0196,-1.4544,2.0239,2.4587,13.3283,
TLKM,2023-10-23,Stochastic Oversold + Naik,Scalp,4368.77,Communication Services,1.1716,2.9337,0.2905,0.7311,-0.5905,1.6121,5.5769,14.828,
TLKM,2023-10-23,Volume Spike Sideways,Akumulasi,4368.77,Communication Services,1.1716,2.9337,0.2905,0.7311,-0.5905,1.6121,5.5769,14.828,
TLKM,2023-10-27,RSI+BB Lower Bounce,Swing,4407.09,Communication Services,0.2886,-0.5886,-1.0272,2.043,2.9202,3.7974,-0.15,12.1307,
TLKM,2023-10-30,Stochastic Oversold + Naik,Scalp,4368.77,Communication Services,-1.0234,-1.46,2.9068,3.3435,2.0334,2.9068,0.7234,9.457,
TLKM,2023-11-02,RSI-9 Pullback ke EMA5,Scalp,4407.09,Communication Services,-1.4212,0.2737,-0.5737,-0.5737,-1.4212,-0.5737,0.6975,12.5619,
TLKM,2023-11-02,Stochastic Deeply Oversold,Scalp,4407.09,Communication Services,-1.4212,0.2737,-0.5737,-0.5737,-1.4212,-0.5737,0.6975,12.5619,
TLKM,2023-11-03,RSI Recovery Diam-diam,Pre-ARA,4541.22,Communication Services,1.5667,0.7084,0.2792,-1.0084,-0.15,1.1376,1.1376,14.0131,
TLKM,2023-11-06,MACD Crossover Bullish,Swing,4522.06,Communication Services,-0.9939,-1.4158,-0.9939,-1.8378,-0.15,-0.9939,-0.15,10.3985,
TLKM,2023-11-10,RSI Recovery Diam-diam,Pre-ARA,4483.74,Communication Services,0.7158,0.7158,2.4474,2.0145,1.5816,1.1487,3.3132,20.1963,
TLKM,2023-11-29,Golden Cross EMA20/50,Swing,4483.74,Communication Services,-0.15,0.7047,2.4141,-1.0047,-2.7141,1.9867,10.9611,19.5081,
TLKM,2023-12-05,Volume Spike Sideways,Akumulasi,4598.71,Communication Services,-3.0789,-3.9157,-4.7525,-3.0789,-0.5684,0.2684,9.055,18.26,
TLKM,2023-12-08,Stochastic Oversold + Naik,Scalp,4407.09,Communication Services,1.1658,1.6044,0.2886,3.3588,4.6746,7.3061,12.1307,27.4816,
TLKM,2023-12-11,RSI+BB Lower Bounce,Swing,4330.45,Communication Services,0.2829,-1.0158,2.8803,2.4474,2.4474,5.4777,8.508,27.9885,
TLKM,2023-12-11,RSI-9 Pullback ke EMA5,Scalp,4330.45,Communication Services,0.2829,-1.0158,2.8803,2.4474,2.4474,5.4777,8.508,27.9885,
TLKM,2023-12-11,Stochastic Deeply Oversold,Scalp,4330.45,Communication Services,0.2829,-1.0158,2.8803,2.4474,2.4474,5.4777,8.508,27.9885,
TLKM,2023-12-12,Volume Spike Sideways,Akumulasi,4445.42,Communication Services,-1.4431,2.4362,1.5741,2.8672,2.8672,9.3327,8.4707,27.4362,
TLKM,2023-12-18,MACD Crossover Bullish,Swing,4483.74,Communication Services,0.6939,-0.15,0.6939,1.1158,1.9597,8.2888,10.3985,24.9226,
TLKM,2023-12-19,Volume Spike Sideways,Akumulasi,4560.38,Communication Services,-0.9868,-0.15,-0.15,2.3605,2.3605,7.7998,11.5655,23.876,
TLKM,2023-12-20,Golden Cross EMA20/50,Swing,4522.06,Communication Services,0.6939,0.6939,1.1158,1.9597,2.8036,10.8205,15.0399,28.4708,
TLKM,2023-12-21,RSI Recovery Diam-diam,Pre-ARA,4560.38,Communication Services,-0.15,0.2684,2.3605,2.3605,6.1261,8.6366,14.4943,26.075,
TLKM,2024-01-05,Breakout Konsolidasi,Pre-ARA,4905.29,Communication Services,-0.5391,-0.9282,-0.15,2.1846,1.4064,-2.4846,12.6905,8.2363,
TLKM,2024-01-09,Volume Avg Naik Terkontrol,Akumulasi,4924.45,Communication Services,0.6343,1.0265,2.9873,2.2029,2.2029,1.4186,10.4382,11.9718,
TLKM,2024-01-26,Stochastic Deeply Oversold,Scalp,4790.32,Communication Services,2.6278,5.4056,5.4056,5.8024,8.5802,13.3421,17.3103,4.5471,
TLKM,2024-01-29,Stochastic Oversold + Naik,Scalp,4866.96,Communication Services,2.5527,2.5527,1.0083,5.2554,7.1859,11.8191,10.6608,0.4999,
TLKM,2024-01-31,Volume Avg Naik Terkontrol,Akumulasi,5096.9,Communication Services,-1.6538,0.2259,2.4816,4.3613,5.4891,5.865,11.2869,0.6174,
TLKM,2024-02-05,MACD Crossover Bullish,Swing,5135.22,Communication Services,0.2163,1.6815,3.8793,5.3445,4.6119,4.2456,11.5098,-2.7365,
